Region,Threat_Category,Q1_2025_Pct,Q2_2025_Pct,Q2_Change_pp
Africa,Worms,3.65,3.13,-0.52
Central Asia,Worms,2.79,2.26,-0.53
Middle East,Worms,1.99,1.82,-0.17
South-East Asia,Worms,1.56,1.49,-0.07
Eastern Europe,Worms,1.6,1.43,-0.17
East Asia,Worms,1.39,1.35,-0.04
South Asia,Worms,1.44,1.24,-0.2
Russia,Worms,1.0,0.98,-0.02
Southern Europe,Worms,0.95,0.78,-0.17
Latin America,Worms,0.74,0.75,0.01
Western Europe,Worms,0.31,0.27,-0.04
Northern Europe,Worms,0.3,0.25,-0.05
Australia and New Zealand,Worms,0.28,0.22,-0.06
World,Viruses,1.53,1.29,-0.24
South-East Asia,Viruses,8.68,7.1,-1.58
Africa,Viruses,3.87,3.34,-0.53
East Asia,Viruses,2.85,2.66,-0.19
Middle East,Viruses,1.99,1.85,-0.14
South Asia,Viruses,1.83,1.47,-0.36
Central Asia,Viruses,1.3,1.0,-0.3
Latin America,Viruses,0.8,0.71,-0.09
Eastern Europe,Viruses,0.59,0.43,-0.16
Southern Europe,Viruses,0.38,0.31,-0.07
Russia,Viruses,0.34,0.27,-0.07
Northern Europe,Viruses,0.21,0.21,0.0
Western Europe,Viruses,0.22,0.16,-0.06
Australia and New Zealand,Viruses,0.19,0.13,-0.06
World,AutoCAD Malware,0.34,0.29,-0.05
South-East Asia,AutoCAD Malware,2.65,2.3,-0.35
East Asia,AutoCAD Malware,1.19,1.07,-0.12
Africa,AutoCAD Malware,0.51,0.42,-0.09
South Asia,AutoCAD Malware,0.3,0.24,-0.06
Middle East,AutoCAD Malware,0.25,0.23,-0.02
Latin America,AutoCAD Malware,0.08,0.07,-0.01
Eastern Europe,AutoCAD Malware,0.1,0.06,-0.04
Southern Europe,AutoCAD Malware,0.08,0.06,-0.02
Central Asia,AutoCAD Malware,0.09,0.06,-0.03
Australia and New Zealand,AutoCAD Malware,0.06,0.04,-0.02
Russia,AutoCAD Malware,0.02,0.02,0.0
Western Europe,AutoCAD Malware,0.02,0.01,-0.01
Northern Europe,AutoCAD Malware,0.01,0.01,0.0
